Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
SANTA FE,General Lopez,Amenabar,SI,,,,SI,SI,SI,SI,
SANTA FE,General Lopez,Cafferata,SI,,,SI,SI,SI,,,
SAN JUAN,Jachal,San Jose de Jachal,,,SI,SI,SI,SI,SI,SI,SI
SAN JUAN,Jachal,Tamberias,,,,,,,SI,SI,
SAN JUAN,Jachal,Villa Malvinas Argentinas,,,,,,,,SI,
SAN JUAN,Jachal,Villa Mercedes,,,,,SI,,SI,SI,SI
SAN JUAN,Pocito,Barrio Municipal,,,,,,,,,
SAN JUAN,Pocito,Barrio Ruta 40,,,,,SI,SI,,SI,
SAN JUAN,Pocito,Carpinteria,,,,,SI,,SI,SI,
SAN JUAN,Pocito,La Rinconada,,,,,SI,SI,,,
SAN JUAN,Pocito,Las Piedritas,,,,,,,,,
SAN JUAN,Pocito,Quinto Cuartel,,,,,SI,SI,SI,SI,
SAN JUAN,Pocito,Villa Aberastain,,,,,SI,SI,,SI,
SAN JUAN,Pocito,Villa Aberastain - La Rinconada,SI,,SI,,,,SI,SI,SI
SAN JUAN,Pocito,Villa Barbosa - Villa Nacusi,,,,,SI,SI,,SI,
SAN JUAN,Pocito,Villa Barboza,,,,,SI,SI,,,
SAN JUAN,Pocito,Villa Centenario,,,,,SI,SI,,SI,
SAN JUAN,Pocito,Villa Nacusi,,,,,,,,,
SAN JUAN,Rawson,El Medanito,,,,,,SI,,SI,
SANTA FE,General Lopez,Cañada del Ucle,SI,,,,,,SI,SI,
SANTA FE,General Lopez,Carmen,,,,,SI,SI,SI,SI,
SANTA FE,General Lopez,Carreras,,SI,,,SI,SI,SI,SI,
SANTA FE,General Lopez,Chapuy,,SI,,,SI,SI,SI,,
SANTA FE,General Lopez,Chovet,,SI,,,SI,SI,SI,,SI
SANTA FE,General Lopez,Christophersen,,,,SI,SI,,SI,SI,
SANTA FE,General Lopez,Diego de Alvear,SI,,,SI,SI,SI,SI,SI,
SANTA FE,General Lopez,Elortondo,SI,,,,SI,SI,SI,,
SANTA FE,General Lopez,Firmat,SI,SI,,SI,SI,SI,SI,,
SANTA FE,General Lopez,Hughes,,,,SI,SI,SI,SI,,
SANTA FE,General Lopez,La Chispa,,,,,,,SI,SI,
SANTA FE,General Lopez,Labordeboy,SI,,,,SI,,SI,,
SALTA,La Candelaria,El Tala,,,,SI,SI,SI,SI,SI,SI
SALTA,La Candelaria,La Candelaria,,,,SI,SI,,SI,,
SALTA,La Poma,Cobres,,,,,,,,,
SALTA,La Poma,La Poma,,,,SI,,,,SI,
SALTA,La Viña,Ampascachi,,,,,,,,SI,
SALTA,La Viña,Cabra Corral,,,,,SI,,,SI,
SALTA,La Viña,Coronel Moldes,SI,,,,SI,SI,SI,SI,SI
SALTA,La Viña,La Viña,,,,SI,SI,,SI,SI,SI
SALTA,La Viña,Talapampa,,,,,,,,SI,
SALTA,Los Andes,Olacapato,,,,SI,,,,SI,SI
SALTA,Los Andes,San Antonio de los Cobres,,,,SI,SI,,SI,SI,SI
SALTA,Los Andes,Santa Rosa de los Pastos Grandes,,,,SI,,,,SI,
SALTA,Los Andes,Tolar Grande,,,,SI,SI,,,SI,SI
SALTA,Metan,El Galpon,SI,,,SI,SI,SI,SI,,SI
SALTA,Metan,El Tunal,,,,SI,SI,,,,SI
SALTA,Metan,Lumbreras,,,,SI,,,,,
SALTA,Grl. Jose de San Martin,Padre Lozano,,,,,SI,,,,
SALTA,Grl. Jose de San Martin,Piquirenda,,,,SI,,,,,
SALTA,Grl. Jose de San Martin,Profesor Salvador Mazza,SI,,,SI,SI,SI,SI,,SI
SALTA,Grl. Jose de San Martin,Recaredo,,,,,,,,,
SALTA,Grl. Jose de San Martin,Tartagal,SI,SI,,SI,SI,SI,SI,SI,SI
SALTA,Grl. Jose de San Martin,Tobantirenda,,,,SI,,,,,
SALTA,Grl. Jose de San Martin,Tranquitas,,,,,,,,,
SALTA,Grl. Jose de San Martin,Yacuy,,,,SI,SI,,,,
SALTA,Guachipas,Guachipas,,,,SI,SI,,SI,SI,SI
SALTA,Iruya,Iruya,,,,SI,,,,SI,
SALTA,Iruya,Isla de Cañas,,,,,SI,,,SI,
SALTA,Iruya,Pueblo Viejo,,,,SI,,,,,
SALTA,La Caldera,La Caldera,,,,SI,SI,SI,SI,SI,SI
SALTA,La Caldera,Vaqueros,SI,,,SI,SI,SI,SI,SI,
SALTA,La Candelaria,El Jardin,,,,SI,SI,,SI,,SI
SALTA,Metan,Metan Viejo,,,,SI,SI,,,,SI
SALTA,Metan,Presa El Tunal,,,,,,,,,
SALTA,Metan,Rio Piedras,SI,,,SI,SI,SI,SI,,SI
SALTA,Metan,San Jose de Metan,SI,SI,,SI,SI,SI,SI,,SI
SALTA,Metan,San Jose de Orquera,,,,SI,,,,,
SALTA,Molinos,La Puerta,,,,,,,,,
